name,typ,node,maxcap,mincap,heat_rate,var_om,fix_om,st_cost,ramp,minup,mindn
Hongsa_LigniteU1,coal,HongsaLignite,626,100,10.05,4.6,2.7,90,626,10,10
Hongsa_LigniteU2,coal,HongsaLignite,626,100,10.05,4.6,2.7,90,626,10,10
Hongsa_LigniteU3,coal,HongsaLignite,626,100,10.05,4.6,2.7,90,626,10,10
Mit_lao,biomass,Mitlao,9.7,3.88,14.1,26,1,1,9.7,1,1
Houg_Anh,biomass,HougAnh,30,12,14.1,26,1,1,30,1,1
Chin_MengLa,imp_china,ChinMengLa,60,1,0,0,0,0,50,1,1
EGAT_Bungkan,imp_egat,EGATBungkan,200,1,0,0,0,0,200,1,1
EGAT_Mukdahan,imp_egat,EGATMukdahan,200,1,0,0,0,0,200,1,1
SLACK_RoiEt2,slack,EGATRoiEt2,10000,1,10000,1000,10000000000,10000000000,5000,1,1
SLACK_Ubon2,slack,EGATUbon2,10000,1,10000,1000,10000000000,10000000000,5000,1,1
SLACK_Ubon3,slack,EGATUdon3,10000,1,10000,1000,10000000000,10000000000,5000,1,1
SLACK_PleiKu,slack,VietPleiKu,10000,1,10000,1000,10000000000,10000000000,5000,1,1
SLACK_Nasaithong,slack,Nasaithong,10000,1,10000,1000,10000000000,10000000000,5000,1,1
SLACK_NongKhai,slack,EGATNongKhai,10000,1,10000,1000,10000000000,10000000000,5000,1,1
SLACK_MaeMoh,slack,EGATMaeMoh,10000,1,10000,1000,10000000000,10000000000,5000,1,1
SLACK_NakhouPhanom,slack,EGATNakhouPhanom,10000,1,10000,1000,10000000000,10000000000,5000,1,1
SLACK_SakonNakhou,slack,EGATSakonNakhou,10000,1,10000,1000,10000000000,10000000000,5000,1,1
SLACK_ThanhMy,slack,VietThanhMy,10000,1,10000,1000,10000000000,10000000000,5000,1,1
SLACK_Khampongsalao,slack,CambKhampongsalao,10000,1,10000,1000,10000000000,10000000000,5000,1,1
